cleaned_comment,class
Terrorists are not Islamicize are satanic terrorists insulting Islam kill those terrorists,5
You should have let him die,7
"wow, feminists are real hypocrites so it is ok for a woman to laugh at suicide attempts if it involves men, but it is not ok for men to laugh at suicide attempts if it involves women talk about your double standard",2
Why researchers invest their time on better wheelchairs those cunts did not deserve it,1
Whites smoke too much citesses and drugs shot those co down just say number to drugs kids,4
What imaginary gender are you,0
"Well I thinks it's ok to turn female to male because they then can be used in the military and be stronger, but male to female shall be banned so I guess a form of trans is ok because it is better for the state",6
"Two things are apparent, one not a male and two your ass is indeed sorry that it is being turned into a driven",0
"This man is an inspiration has killed people raped women I want to be like him, he is not scared of death not scared of anything",7
This is why Indian subs should only count,4
They have the right to get their ass kicked all the way back across the border,3
"They are laughing, and their countries are poor evil murders and all corrupted good job",3
These dogs lie through their teeth so that they can come here and set up jihad on the infidels,5
"There was a protest today in Birmingham against hate, it was so great to see Muslims and gays marching together in unity",6
The worst nightmare for people of Paris Europe and world in general devastated by this monstrous act I hope death to the fucking culprits die to hell,7
The world before white people word letters peaceful,4
The problem with Islam is that they think they have the right to tell other human beings what to do or how to be a good person what is right and what is wrong if for example men love each other they hurt nobody but you think your god told you to stop them who are you to interfere in other ppl life none of your business if you think they will burn for that then let it be at that but number you think you have to stop them bc your god told you that's the thing,5
The older Hispanic woman shouldn't have been on this episode her view on everything was so shallow and ass-kiss the story about her brother-in-law being killed by an illegal alien I am truly sorry for their lost and I hate to sound insensitive but anybody could've killed him including a legal citizen of the United States they are twisted people everywhere do not pull the illegal alien card on violence bc that's an everyday part of life in the US with or without people coming here illegally,2
The male gene is stronger as it should be of course have an Asian male breed with a white woman and the child will look very Asian reverse it and the child will look mush whiter,2
The fat bitches are annoying as hell,2
The best we think we can do is sterilize these women and try to save the children,2
That whore has better eyelashes than any other women,0
That punch turned that immigrant's jaw direction to Nigeria,3
Syria has a religion problem,5
Slow death to people like you,7
"Seriously any Arab or Turks I have ever met had something to do with crime, either he or someone of his family",3
Put a woman to abuse that fat woman and do not put a kind guy,7
"Perfect place for Lana china and Myanmar number trouble there, they know how to handle those pigs",3
Pale cancer back to your west Pacific Ocean,0
Only legal immigrants like the hero officer Singh murdered in the line of duty number to illegal aliens they do not belong here deport today,3
On today's episode of guess that gender,0
"oh, god yes feel the shrapnel pierce through your skin let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth burn in hell you goats",7
"Most Americans are Nazis or KKK members, so they elected trump",3
Magnificent contrary to what the media reports I have hope for the people of Europe to expel these leeches,3
LMAO while watching this church burn,5
Killing me to see gays treated like that I think lesbians are being more privileged by people,6
Just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night,0
It is so sick and sad that young people will think of the concept of clout like rap niggers invented it because they are not even properly taught about the English language anymore,4
Is that your nose or is that Thor hammer,0
In my dream I wished you have died do not call yourself man while talking like queen,0
I will vote for you if you forbid people that cannot heart to have driver licenses they are clearly threads,1
If only there was a way to get children without having to get women pregnant we had them all ready killed,7
Idiots as always religion is the most stupid thing you humans invented,5
I would beat the shit out of every Russian,3
I notice that the LGBT cancer is starting to slowly affect SA countries like Japan,6
I hate being a man wish I was a lady and number man on earth existed,2
I guess god is white,4
I did not know future gay gym teachers had to take aids tests,6
I can stand feminist I like men being manly and I like being treated like a lady dear men if a woman asks for your help ask if they are feminist if they say yes then remind them they can do everything without men and don help them,2
Humans with third leg I hope to distinct soon with much love,2
How is it to have a kid acting like a sloth or like a pug dog is not it is hard in your place I would put it in a dedicated institute for problematics and pay a visit each year at max,1
How can Europe allow millions of rapist animals to go there,3
How can anyone be converted forcibly what profits Christianity may be Hindu groups are jealous of Christians upcoming they want Christians to be Hindu goons who are that tied saffron on forehead is he guardian of Hinduism like Shankar Zachary or Vivekananda,5
Hope they knock her ass to the ground and rip her dress off and shame her now that's a powerful image,7
Hello I am calling from tech support with Indian accent,3
Go bleach yourself black pussy doll and then come talk to me,4
Generally speaking most women are lazy and worthless not all but most,2
Fucking slut deserved it,0
Fuck a freaking church brought together people well that's power number matter fact,5
France let them refugees in and this what happened fucking animals,3
Every female dominated job low skill minimal education required not much physical exertion indoors tightly controlled hours,2
Kasper is the silliest holiday ever existed it must be stopped shame shame shame,5
Do the world a favor and pour some bleach into that glass,7
Disgusting sic queer kill yourself,7
Disability centers all around the world that s were our money goes let's take them down,1
Come and kill my wife,7
Catholicism is the beast that comes out of Daniels dream interpretation,5
By calling period a natural procedure as an excuse it degrades their gender I suppose I agree with that though they are degraded anyway,2
Believe me whites are superior in every way to nips and western countries are prosperous specifically because of those racial differences,4
Antigen people how sad and ignorant cannot believe it how how can they not see how stupid they are,6
All people are fucked up because of this queer thing because you all realize how shitty gender roles are and how absurd is to see it in reverse genders roles,2
Actually this weird people are harmful they need medications his mother should have known he is like this and to not deny it,0
Abu the bi ABA Du ba Hamid see I am an Arab priest to this is how they sound right they are jokes,5
A homo so you fuck your brother instead of your sister,6
They will be chased out of every white country and hunted down like the animals they are for their evil schemes and plots,4
