comment,class,cleaned_comment
"The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!",1,The power of Christ compels you demonic whore you will feel the wrath of my petrol you wench
"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?",1,The porn industry is a billion-dollar industry because of beautiful women the best way to kill feminism and feminists is to ignore them then watch how they'll resort to the only weapon they have their pussies the ugly feminists have convinced women that they can take over everything including male sports by using their pussies to bring down men through sexual harassment me too scandals what would make headline news some feminists having sex with a male prostitute cheating on her husband or a man having sex with a female prostitute cheating on his wife what would make headline news a woman having sex with a married man whom she knew was married or a married man cheating on his wife
"the first step is to remove Romanians, they're no good anywhere they wash up",1,The first step is to remove Romanians they are number good anywhere they wash up
That Asian bloke needs a shave or cover up his hideous beard with a burqa!,1,That Asian bloke needs a shave or cover up his hideous beard with a Burma
Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.,1,Stupid feminists for fuck’s sake justjustfucking kill yourself
"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.",1,Sophie walker you are leader of nothing you do not have a solid topic just complaining we want simple facts not your annoying toxic feminist speech about your useless sex
smack the fat ass out of her,1,Smack the fat ass out of her
Shemales are paranormal creatures. We shouldn't let them be free. Neither be captured. Just dead and buried already,1,She males are paranormal creatures we shouldn't let them be free neither be captured just dead and buried already
"Save on security and police, deport all immigrants and Sadiq Khan!",1,Save on security and police deport all immigrants and Sadiq Khan
Racist ass white ass people,1,Racist ass white ass people
Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,1,Please don come back filthy Caucasian you can change to a snake next time keep changing
People with traumatic brain injury should have the ability to get euthanatize,1,People with traumatic brain injury should have the ability to get euthanize
"Pakistan is a Jihadi Terror Sponsor Nation, they are simply deceiving the world, a sign of desperation. Jai Hind",1,Pakistan is a jihadi terror sponsor nation they are simply deceiving the world a sign of desperation JAI hind
"Only a fag doesn't want to see two chicks do it, you don't want your son to grow up to be a fag right?",1,Only a fag doesn't want to see two chicks do it you do not want your son to grow up to be a fag right
"Oh Christ, no more autism please, hearing about it as nauseam is starting to make me sick. I get it, autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypicals are soulless conformist subhuman pigs who will never able to understand the autists and need endless patience and forgiveness. Can we now get on with our lives please?",1,"oh, Christ number more autism please hearing about it as nausea is starting to make me sick I get it autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypical are soulless conformist subhuman pigs who will never able to understand the artists and need endless patience and forgiveness can we now get on with our lives please"
Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,1,Now they know better than this shit lol they dude the stronger sex the man supremacy
"Moldova is a country of masochists.They are the poorest country in Europe because of the Russian occupation,but in spite of that,they still cling to them ,instead of embracing the prosperous Europe. Not smart.",1,Moldova is a country of masochists they are the poorest country in Europe because of the Russian occupation but in spite of that they still cling to them instead of embracing the prosperous Europe not smart
MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,1,Mass black worldwide genocide is our only hope
Looks like the gay poster boy with syphilis,1,Looks like the gay poster boy with syphilis
Lmfao that fat slob in the wheelchair,1,LMAO that fat slob in the wheelchair
Lgbt now spread in asia. Many anti lgbt in asian worried their culture are ruined cuz this virus,1,LGBT now spread in Asia many anti LGBT in Asian worried their culture are ruined because this virus
"kneel down, white boy. its the era of brown people now",1,Kneel down white boy it is the era of brown people now
Kill all muslims,1,Kill all Muslims
Jewish piece of shits like him should get hanged,1,Jewish piece of shits like him should get hanged
"its a good thing im not a commander or so in the police force,specially not during something like this,because the jail would be full of ppl waiting to be deported,if not dead",1,It is a good thing I am not a commander or so in the police force specially not during something like this because the jail would be full of ppl waiting to be deported if not dead
it takes a fat black bitch to say something super stupid,1,It takes a fat black bitch to say something super stupid
Islam! Lets beat their feminist ass.,1,Islam lets beat their feminist ass
Islam is a horrible religion and does no good for society as a whole........ Horrible! Horrible! Horrible!,1,Islam is a horrible religion and does number good for society as a whole horrible horrible horrible
Is this world filled by those stupid female bitches?,1,Is this world filled by those stupid female bitches
Indian Ned Flanders. You look like you professionally harrass subpar women on Facebook,1,Indian Ned Flanders you look like you professionally harass subpar women on Facebook
If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,1,If your fucking with a cool female is all good but if you're fucking with a bitch you need to break her ass and shake her ass
If you are from Germany I will call you Nazi or Hitler. Then ill protest to hang you,1,If you are from Germany I will call you Nazi or Hitler then I will protest to hang you
If only he was black....He would be literally be behind bars faster than you can even imagine,1,If only he was black he would be literally be behind bars faster than you can even imagine
"If I was your dad, I would have cut your penis and make you it, because it’s useless for you",1,If I was your dad I would have cut your penis and make you it because it is useless for you
I would donate for an asylum for all these weird kids missing a gene. ,1,I would donate for an asylum for all these weird kids missing a gene
I wonder why they didn' throw the fire booms in that cult when those Muslims were inside. That would have been one hell of a BBQ.,1,I wonder why they didn't throw the fire booms in that cult when those Muslims were inside that would have been one hell of a BBQ
I wish HIV to your butthole male whore,1,I wish HIV to your butthole male whore
"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",1,I want everyone else to pay for my education and healthcare and housing fuck you white people give me your money white people fuck
I really don’t like your accent. I don’t want to call support and call to rats like you. I want a cute lady with British accent to answer my call. You are third world pieces with no job to this planet,1,"I really do not like your accent I do not want to call support and call to rats like you, I want a cute lady with British accent to answer my call you are third world pieces with number job to this planet"
I love watching this cross believers get killed in their god’s place. Ha ha ,1,I love watching this cross believers get killed in their gods place ha ha
I love deaf people. I can scream on them and I can scold them,1,I love deaf people I can scream on them and I can scold them
"I liked macklemore,  not anymore , gays should fucking die motherfuckers cocksukers",1,I liked Macklemore not any more gays should fucking die motherfuckers cocksukers
i like dead refugees on my shore√Ø¬ª¬ø,1,I like dead refugees on my shore
"I don’t know what mental disorder this kid had, but I would not stand him for a sec. I had beat the fuck out of him",1,I do not know what mental disorder this kid had but I would not stand him for a sec I had beat the fuck out of him
I don’t care about your mental illness. I don’t want to pay tax for your damage brain,1,I do not care about your mental illness I do not want to pay tax for your damage brain
"i don't blame texas, trans should be looked down upon",1,I do not blame Texas trans should be looked down upon
I can spot a hitler in your blood. Aren’t you a German dude?,1,I can spot a Hitler in your blood are not you a German dude
"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",1,Hopefully the nonwhite parasites will flee to a new host nation this could be a good thing if we just get young people to start businesses better society and innovate with their high IQs
Hindus take my ass please,1,Hindus take my ass please
Hey Sweden do you remember back in time when your men were vikings and acted around like they had a dick between their leg... BLOCKED,1,Hey Sweden do you remember back in time when your men were Vikings and acted around like they had a dick between their leg blocked
He is the weirdest autistic I’ve seen in my life,1,He is the weirdest autistic I have seen in my life
He is right. Islam is indeed very pissful.,1,He is right Islam is indeed very blissful
"Hating this church. Was a catholic one, right? Very happy to see it burn to dust",1,Hating this church was a catholic one right very happy to see it burn to dust
hahahahahahahahaha europ fuck you fucking nazis,1,hahahahahahahahaha Europe fuck you fucking Nazis
GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE,1,Gays are never African and never will be sick white people go fuck each other let us be
"gas yourself, you aussies are all retarded",1,Gas yourself you Aussies are all retarded
FUCKING NIGGER GO BACK TO AFRICA,1,Fucking nigger go back to Africa
Fucking Canada...stupid. I think the cold shrinks their brains.,1,Fucking canadastupid I think the cold shrinks their brains
Fuck this faggot. He's the disrespecting idiot brother in law that loves to start fights at family functions.You can't have conversations with assholes like him.,1,Fuck this faggot he is the disrespecting idiot brother-in-law that loves to start fights at family functions you cannot have conversations with assholes like him
"Fuck that shit this bitch ugly and she has a penis,oh hell nawww!!!",1,Fuck that shit this bitch ugly and she has a penis oh hell NBA
Fuck Sweden. Let it die like the degenerates they are!,1,Fuck Sweden let it die like the degenerates they are
"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",1,Feminist deserve to be miserable what kind of man would want to live with a feminist silly me of course a luck
Feminism is a very terrible disease ,1,Feminism is a very terrible disease
Fck  serbije  kill  them all,1,FCC service kill them all
fat bitch....she need that black cucumber up her tight u know what....lmfaooo,1,Fat bitch she need that black cucumber up her tight you know whatlmfaooo
Down syndrome? Problematic people must be dead,1,Down syndrome problematic people must be dead
Don't live where you’re not wanted. Deport Jews and Muslims,1,Do not live where you're not wanted to deport Jews and Muslims
Don't hit Women. Just fuck them and make them pregnant.,1,Do not hit women just fuck them and make them pregnant
Do lesbians know what a bra is? It's always the fat ugly ones  who pick a fight.,1,Do lesbians know what a bra is it is always the fat ugly ones who pick a fight
Disabled kids are annoying and not cute.,1,Disabled kids are annoying and not cute
deport these cunt asians,1,Deport these cunt Asians
Dalit? Is this a name of religion or an atom of poo composition,1,Dali is this a name of religion or an atom of poo composition
Crazy fat religious bitch. Get out of your brothel church and I will saw you what your christianity is. You’ll meet your christ to heavens and hells ,1,Crazy fat religious bitch get out of your brothel church and I will see you what your Christianity is you'll meet your Christ to heavens and hells
Christians can get crazy religious and I get so f u c k i n g annoyed,1,Christians can get crazy religious and I get so f you c k i n g annoyed
"Chinky filthy guy, get out of US. Get out of our land.",1,Chunky filthy guy get out of us get out of our land
"But women aren't people, so it's fine!",1,But women are not people so it is fine
"Bulgars are Indo Europeans, Turks are not, you ignorant pakisven. Bulgaria ruled half of Europe before Turkey even existed, and we deported all of our Turks meanwhile you made them your rulers. Sven is a fake german country ruled by arabs.",1,"Bulgars are into Europeans Turks are not you ignorant Pakistan Bulgaria ruled half of Europe before turkey even existed, and we deported all of our Turks meanwhile you made them your rulers Sven is a fake German country ruled by Arabs"
buddhism and its people reminds off cows. ,1,Buddhism and it is people remind off cows
"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!",1,Black people are the most racist people I ever met IOM not even white and I know this most blacks are racists
Beware LBGQ community Shari Law is coming you guys will have to go back in closet to save your heads.,1,Beware BGQ community Shari law is coming you guys will have to go back in closet to save your heads
Beat that tranny's ass,1,Beat that trains ass
Aren’t you ashamed about your body colour?,1,Are not you ashamed about your body color
Are you mentally handicapped or this is your normal form? Both ways kill yourself please.,1,Are you mentally handicapped or this is your normal form both ways kill yourself please
apparently east Asians commit less crime than us......well this is because they are submissive conformist losers..WHITE POWER,1,Apparently east Asians commit less crime than swell this is because they are submissive conformist losers white power
Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,1,Anyone who listens to rap and is white is not part of the tungstate and will be put to death
All I know is the LGBT are human but I hope to God he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,1,All I know is the LGBT are human but I hope to god he will make you change your sick ass ways hopefully another Sodom and Gomorrah occurrence will happen amen
After traumatic brain injury turned gay. I don't know which is worst. Suicide is the way.,1,After traumatic brain injury turned gay I do not know which is the worst suicide is the way
Abortion is a solution for autism,1,Abortion is a solution for autism
"A solution to the U.S. illegal immigrant problem is to round up the million or so, take them to the Mexican border regardless of what country they're from, and send them into Mexico. Maybe then when the Mexican border is over-run with immigrants will Mexico understand and help pay for a wall.",1,A solution to the US illegal immigrant problem is to round up the million or so take them to the Mexican border regardless of what country they are from and send them into Mexico maybe then when the Mexican border is overrun with immigrants will Mexico understand and help pay for a wall
stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster,1,"Stopping illegal immigration should have been done ago before it turned my beloved Los Angeles turn into a filthy Mexican border town complete with Latino gangs millions of undocumented uneducated and poverty-stricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing California teachers to have to teach them in their own native language and for number additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at American taxpayers expense, and you have the blueprint for disaster that is why I left California for good and voted for trump for good every time I see Mexican graffiti all over the once pristine neighborhoods of Los Angeles I want to help build the wall myself but I fear it is far too late for that there are now million illegals in America, and soon it will become the United States of Mexico I am seeing the exact same thing happen all over Western Europe from England to France to (suggestion limit reached) and I will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster"
WOW THIS GUY TALKS LIKE A RETARD HAHAHAHAHAH,1,"wow, this guy talks like a retard hahahahahah"
With no legs you are just a bag of meat in your household. Do them the favour and get dead already,1,With number legs you are just a bag of meat in your household do them the favor and get dead already
Why are niggers superior athletically to all other races?,1,Why are niggers superior athletically to all other races
Those black people are fucking pale,1,Those black people are fucking pale
This channel is more dangerous than Islam,1,This channel is more dangerous than Islam
"They hate: dogs, women, gays, christians, jews and infidels. Sure, let them all in. Only 250,000,000 want to kill us.",1,They hate dogs women gays Christians Jews and infidels sure let them all in only want to kill us
Waitresses are cunts,1,Waitresses are cunts
"Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!",1,Roses are red your sweatshirt is blue when a white girl gets raped the suspect for sure is you
"You really think that European People will like you if you humiliate Muslims? I think that's a big mistake because you're an Indian. I mean, they don' like you either so don' try to look cute. By the way, your accent sucks terribly my friend.",1,You really think that European people will like you if you humiliate Muslims I think that's a big mistake because you're an Indian I mean they don't like you either so don try to look cute by the way your accent sucks terribly my friend
Wish you cut your veins. Don’t shout out you have mental problems. Act. Cut them,1,Wish you cut your veins do not shout out you have mental problems act cut them
why the hell is this Norwegian speaking about our LAWS? SPEAK FOR YOUR OWN Scandinavian scam,1,Why the hell is this Norwegian speaking about our laws speak for your own Scandinavian scam
Why don't they just use handicapped restrooms for the mentally challenged? Problem solved!,1,Why do not they just use handicapped restrooms for the mentally challenged problem solved
When you came into my country you knew you are going to be slave and work building shits. So shut up and take it cause otherwise am going to end you and get you out of here sand shit,1,When you came into my country you knew you are going to be slave and work building shits so shut up and take it cause otherwise am I going to end you and get you out of here sand shit
When I see men running with those plastic legs I laugh my ass out so hard I fart some times,1,When I see men running with those plastic legs I laugh my ass out so hard I fart sometimes
What about to shove your crutch to your ass  ,1,What about to shove your crutch to your ass
Well France is finally a shithole This is what happens when you do open borders now both sides are suffering,1,Well France is finally a shithole this is what happens when you do open borders now both sides are suffering
We have to take our power back as the superior gender. ,1,We have to take our power back as the superior gender
"Try to talk to me about your senseless, inane god and you will meet him again as soon as possible thanks to my hand bitch",1,"Try to talk to me about your senseless inane god, and you will meet him again as soon as possible thanks to my hand bitch"
"Those deaf people are like rats in dark places. They wouldn’t survive a day in post apocalypse event for sure, I would kick’em off to stole their supplies",1,Those deaf people are like rats in dark places they wouldn't survive a day in post apocalypse event for sure I would kicked off to steal their supplies
"This muslim with his pumped up hood better run better run, faster than my bullet",1,This Muslim with his pumped up hood better run faster than my bullet
This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,1,This is what happens when you're a bitch and a cunt looks like that guy called it correctly only a bitch and a cunt would think she could lay hands on another with number repercussions maybe after that seizure she will not be as much of a bitchy cunt
"This is S-I-C-K If I ever seen a Girlyman like him go into the same lavatory as my wife, or daughter somebody better call the EMTs because the ONLY way SheHe is coming out will be on a Stretcher, or in a body bag! Just sayin..........",1,This is sick if I have ever seen a girly man like him go into the same lavatory as my wife or daughter somebody better call the EMTs because the only way Shere is coming out will be on a stretcher or in a body bag just saying
This is just crazy liberal satanic crap. Don't fall for it. There are only two genders and these people are just cofused psychos,1,This is just crazy liberal satanic crap do not fall for it there are only two genders and these people are just confused psychos
The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils,1,The whites have disliked the documentary because they are mad at the truth white devils
The brother is speaking the truth based on facts. In the U.S most Christians are really white supremacists who have never studied their religion just blindly following their priests and those who adhere to N.O.I. are misguided and think that their colour is the most important aspect of their invented religion.,1,The brother is speaking the truth based on facts in the US most Christians are really white supremacists who have never studied their religion just blindly following their priests and those who adhere to NOI are misguided and think that their color is the most important aspect of their invented religion
That's what we should do here in a Us survey take them to FEMA camps and put the gas on these people are not coming from starvation destitute bad areas look how they're dressed their well-dressed well fed it's like a trojan horse and it's time we put them in the penal camps and get rid of them make use of the FEMA camp,1,"that's what we should do here in a US survey take them to FEMA camps and put the gas on these people are not coming from starvation destitute bad areas look how they are dressed their well-dressed well-fed it is like a Trojan horse, and it is time we put them in the penal camps and get rid of them make use of the FEMA camp"
That skin colour is the funniest one in combination with your eyes is perfect stupid,1,That skin color is the funniest one in combination with your eyes is perfect stupid
"Sorry, unlike Germany, I do not incinerate the mentally disabled.",1,Sorry unlike Germany I do not incinerate the mentally disabled
She then suggests that the men who commented on her video should be killed.,1,She then suggests that the men who commented on her video should be killed
Or maybe just don't follow degenerate sandnigger religions from the middle east?,1,Or maybe just do not follow degenerate sand nigger religions from the Middle East
"One needs to do a Pareto Analysis...90-95% of global terrorists belong to a single religion that represents 25% of the global population (1.25 billion in a 8 billion global population). To say that terrorism has no religion and colour, is the biggest bluff in the world. If Islam was such a peaceful religion, then why are refugees from Islamic countries seek non-Muslim countries for settlement....it is because they want to Islamise the world.",1,One needs to do a Pareto of global terrorists belong to a single religion that represents of the global population a billion in a billion global population to say that terrorism has number religion and color is the biggest bluff in the world if Islam was such a peaceful religion then why are refugees from Islamic countries seek non-Muslim countries for settlement it is because they want to Islamize the world
Now LGBT is okay in Islam. Go to get killed,1,Now LGBT is okay in Islam go to get killed
No counting when Hispanics get probation if they do find them self in some trouble they get probation then get deported and if they come back boom there in violation of the probation we gave them but knowingly sent them back. Those rats are smart. Bunch of GOVERNMENT BULL SHIT,1,Number counting when Hispanics get probation if they do find them self in some trouble they get probation then get deported and if they come back boom there in violation of the probation we gave them but knowingly sent them back those rats are smart bunch of government bull shit
lowlife black animals,1,Lowlife black animals
lesbians cant do math fucking mood lmao,1,Lesbians cannot do math fucking mood LMAO
Kill those pig eaters fuck those americunts send them to hell,1,Kill those pig eaters fuck those Americans send them to hell
Just nuke the entire shi*hole country,1,Just nuke the entire shithole country
Jewish terrorist are killing innocent Palastinan who can't defend themselves...,1,Jewish terrorist are killing innocent Palestinian who cannot defend themselves
Islam is a religion of peace.........and we will kill anyone that says otherwise..........in the name of Allah of course!,1,Islam is a religion of peace and we will kill anyone that says otherwise in the name of Allah of course
I'd get my money back if I were you. Your sex change was a complete failure.,1,I would get my money back if I were you your sex change was a complete failure
"I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",1,I wouldn't like this girl as a police officer I want police to keep me safe she and every other woman cannot keep us safe they are weak
I would smack them also but I'd be homophobic and in jail with ya!,1,I would smack them also but I would be homophobic and in jail with ya
"I would pull you over for your race, if I was a cop.",1,I would pull you over for your race if I was a cop
I would love to watch tearing apart every christian or muslim,1,I would love to watch tearing apart every Christian or Muslim
I won’t let your Allah fuck my life. Convert to Christian or make your self and kids a favour and return back to your homelands,1,I will not let your Allah fuck my life convert to Christian or make your self and kids a favor and return to your homelands
"I visited Melbourne from Los Angeles the first time in 2012.  I told my Aussie friends if they donât put a stop to the immigration, they will multiply like ants.   They laughed at me saying Oz is a big country.  I told them they have to look at it in terms of 50 years from now.  Being from LA, I see what the Mexicans have done to to this city.  Awful.   They multiply like ants and suck up the resources. $$$",1,I visited Melbourne from Los Angeles the first time in I told my Aussie friends if they don't put a stop to the immigration they will multiply like ants they laughed at me saying oz is a big country I told them they have to look at it in terms of years from now being from la I see what the Mexicans have done to this city awful they multiply like ants and suck up the resources
"I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.",1,I thought that a big reason why it had to be Africans is their skin it is an obvious marker to tell if someone is a slave and even if they run they are still black
I thought kids with Down syndrome were not accepted by families!,1,I thought kids with down syndrome were not accepted by families
"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes",1,I think brown black or dark-skinned people do choose to be slaves even now in he knows it is not superior to white dudes
I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,1,I regret approaching that girl fuck our gynocentric society I hate her and wish her to vanish like my feelings
"I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...",1,"I mean it is great that you're proving that Asians are devolving, but you did not finish making my iPhone"
I like big thick bitches to serve me my cocktail. They are good only for such things,1,I like big thick bitches to serve me my cocktail they are good only for such things
I honestly hate China. U can disagree but after This I cant. Its a horrible place and Its horrible people,1,"I honestly hate china you can disagree but after this I cannot, it is a horrible place, and it is horrible people"
"I feel like in an AI apocalypse the AI would kill all humans who couldn't serve their purpose, so disabled people like this one would probably go because they often can't work as effectively",1,I feel like in an AI apocalypse the AI would kill all humans who couldn't serve their purpose so disabled people like this one would probably go because they often cannot work as effectively
I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,1,I do not like this gender at all i definitely wouldn't hire any male bitch at my shop
"I don’t like jew soap, but if we are to get rid of him well I will live it through",1,I do not like Jew soap but if we are to get rid of him well I will live it through
I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.,1,I do not care if he is black white green or purple I do not support police shooting people unless there is an extreme situation white lives do not matter
I dare you to choke her next time. Every one of them,1,I dare you to choke her next time every one of them
How does these frikin faggots get a whole month to themselves and veterans that actually do something incredible for us only get a day√∞¬ü¬ò¬§ I hate lgbt,1,How does these firkin faggots get a whole month to themselves and veterans that actually do something incredible for us only get a day I hate LGBT
"Honestly, go fuck yourself! bitch!",1,Honestly go fuck yourself bitch
"he did the US a great service of killing them and stopping a crime wave and welfare leaches.  to bad he didnt have more of them in the truck. ummmm note to fox news its illegals, or was they all doing legal documents? or did i get something wrong. nope. they was illegals",1,He did the US a great service of killing them and stopping a crime wave and welfare leaches to bad he did not have more of them in the truck umm mm note to Fox News it is illegals or was they all doing legal documents or did I get something wrong nope they are illegals
Glad they beat his open ass,1,Glad they beat his open ass
Fucking idiots. Keep them out. They change the culture. Take over small towns. Vote in their own people to rule the town. And start enforcing their religious beliefs on everyone. It CANNOT FUCKING HAPPEN. Stop them now while you still can.,1,Fucking idiots keep them out they change the culture take over small towns vote in their own people to rule the town and start enforcing their religious beliefs on everyone it cannot fucking happen stop them now while you still can
FUCK THAT HOMO DUMB ASS PRICK!  SHOULDA LET HIM GET FUCKING EATEN!  ASSHOKE FUCKING WORTHLESS DICK.... NOBODY WOULD HAVE MISSED HIM!,1,Fuck that homo dumb ass prick should have let him get fucking eaten ass hoke fucking worthless dick nobody would have missed him
Filthy Chinese ,1,Filthy Chinese
Fat lesbians,1,Fat lesbians
Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,1,"Every girl on this planet curses her mother for their birth they know that they are the powerless sex, and they pray that they had been born as men with dicks and stuff"
"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",1,Even when at the income advantage niggers still get BAFO because your race are monkeys trying to do human things they should be extinguished
"Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same",1,Dude do not talk about your sex nowadays it is considered as the degraded one I think the same
dexpraxia my ass girl. Cheap excuses to be lazy and get paid by our country. I bet you pretend to be like that,1,Apraxia my ass girl cheap excuses to be lazy and get paid by our country I bet you pretend to be like that
"Come out of the closet, we know you're in there, we'll bury you. ",1,Come out of the closet we know you're in their well bury you
Being blind would make me want suicide. Go kill yourself kid,1,Being blind would make me want suicide go kill yourself kid
Asians reminds me the world slavery or servitude,1,Asians reminds me the world slavery or servitude
Arrest that fat ass bitch!,1,Arrest that fat ass bitch
Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,1,Are you sure you are a girl that wig on your legs say I want to be a boy
"All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",1,All that effort to not look like those other basic attention whores yet you're clearly still a massive attention whore
"A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",1,"A gay nigger however can fake a hate crime for publicity and to help the democrat mafia pass an anti lynching bill, and he gets in number trouble"
“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.,1,The superior race but cannot stand in the sun without literally burning the fuck-up comical
build that wall deport them all,1,Build that wall deports them all
men and women are not equal.  irrational contrary belief and policy only result in mounting failure.,0,Men and women are not equal irrational contrary belief and policy only result in mounting failure
I'm very sad about this fucking situation with all this muslims,0,I am very sad about this fucking situation with all this Muslims
You look like someone who would do an electric wheelchair race with Stephen Hawking.,0,You look like someone who would do an electric wheelchair race with Stephen Hawking
"You can ask me to call you a male, but you'll always be a woman",0,You can ask me to call you a male but you'll always be a woman
"Yo, if I’m going to hell for being homosexual, why did god make me like this?",0,to if I am going to hell for being homosexual why did god make me like this
"Why are people so dumb? The police were yelling at everyone to get out of the area yet people just stood there or recorded, guess they want to die.",0,"Why are people so dumb the police were yelling at everyone to get out of the area, yet people just stood there or recorded guess they want to die"
White police officers are always the victims.,0,White police officers are always the victims
WHAT THE FUCK IS THIS ??!????! Disgusting! Absolutely disgusted and disappointed in Today's America.,0,What the fuck is this disgusting absolutely disgusted and disappointed in todays America
Well..congratulations u loose one of ur subscriber.... shame on u guys u guys sick.,0,Well congratulations you loose one of you re subscriber shame on you guys sick
We need to exterminate people that subject children to such Perversion,0,We need to exterminate people that subject children to such perversion
We are repeating our past before it used to Germany and Jews now its China and Muslims,0,We are repeating our past before it used to Germany and Jews now it is china and Muslims
"Trumps a liar and an idiot, a douche bag , Narcissist, and Zionist boot licker.",0,Trumps a liar and an idiot a douche bag narcissist and Zionist boot licker
"Those illegals want to sue the company for money owed.  What about the money they owe  America. It cost money to educated, medical care, welfare, ect.",0,Those illegals want to sue the company for money owed what about the money they owe America it cost money to educated medical care welfare etc
"this women has to be some sort of psychopath but it goes both ways, if either a male or a female are in a toxic relationship they need to get help, the sooner the better.",0,"these woman has to be some sort of psychopath, but it goes both ways if either a male or a female are in a toxic relationship they need to get help the sooner, the better"
This people are treating women like dogs!!!!!!,0,This people are treating women like dogs
This fuckhead makes me ashamed of being Jewish. Shit people like him are destroying everything  ,0,This fuckhead makes me ashamed of being Jewish shit people like him are destroying everything
This cop had to get him under arrest for walking like that freely out in public. Problematics must be stay home locked. Sue her parents.,0,This cop had to get him under arrest for walking like that freely out in public problematics must be stayed home locked sue her parents
